,Descripción de productos,Unidad de Medida,Cantidad Mensual de Consenso,Precios,Córdobas,Fecha
384,Pastas alimenticias  ,Libra,5,43.86,219.3,2023-06-01
385,Pan ,Libra,27,31.63,854.01,2023-06-01
386,Tomate de cocinar,Libra,14,17.17,240.38000000000002,2023-06-01
387,Cebolla blanca,Libra,8,40.2,321.6,2023-06-01
388,Papas,Libra,15,28.41,426.15,2023-06-01
389,Ayote,Libra,32,11.01,352.32,2023-06-01
390,Chiltoma ,Libra,3,47.9,143.7,2023-06-01
391,Plátano verde,Libra,16,15.51,248.16,2023-06-01
392,Naranja ,Libra,46,12.73,585.58,2023-06-01
393,Repollo,Libra,2,16.92,33.84,2023-06-01
394,Jabón de lavar ropa,Unidad,12.55,26.38,331.069,2023-06-01
395,Detergente en polvo,Bolsita de 40 gramos ,27.97,3.6618692230259344,102.42248216803539,2023-06-01
396,Pasta dental,Unidad de 115 grs ,2.13,42.1,89.673,2023-06-01
397,Fósforos,Cajita de 40 cerillos,10.87,2.22,24.1314,2023-06-01
398,Escoba ,Unidad,1.22,77.76,94.86720000000001,2023-06-01
399,Papel higiénico,Rollos,10.71,20.11,215.37810000000002,2023-06-01
400,Jabón de baño,Unidad,4.67,14.41,67.2947,2023-06-01
401,Toallas sanitarias ,Bolsa de 10 unid,2.21,27.69,61.194900000000004,2023-06-01
402,Desodorante nacional,Unidad,1.9,52.55,99.84499999999998,2023-06-01
403,Cepillo dental,Unidad,2.49,19.26,47.95740000000001,2023-06-01
404,Alquiler,Valor (C$) mensual,1,900,900,2023-06-01
405,Gas butano , 25 libras,1,436,436,2023-06-01
406,Luz eléctrica,KWH,100,3.22921625,322.921625,2023-06-01
407,Agua,Galones,5292,0.031198811720030244,165.10411162240004,2023-06-01
408,Transporte ,Pasaje,240,2.5,600,2023-06-01
409, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,495.31,307.731200001546,2023-06-01
410, Camisa manga corta ,Unidad,0.6600037006796985,161.97,106.90079939909076,2023-06-01
411, Calzoncillos,Unidad,1.56501893310219,58.99,92.32046686369819,2023-06-01
412, Calcetines,Par,1.3198798072969047,32.34,42.6849129679819,2023-06-01
413," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,524.16,226.54787693136055,2023-06-01
414, Blusa manga corta ,Unidad,0.66,159.75,105.435,2023-06-01
415, Pantalón largo de tela de jeans ,Unidad,0.51,533.89,272.2839,2023-06-01
416, Vestido entero ,Unidad,0.5,289.46,144.73,2023-06-01
417, Calzones/ Bikinis,Unidad,1.23,52.43,64.4889,2023-06-01
418, Brassier/ sostén,Unidad,0.97,71.09,68.9573,2023-06-01
419, Sandalias de cuero sintético ,Par,0.44,286.61,126.1084,2023-06-01
420, Traje completo,Unidad,0.5019645078350022,363.08,182.25327350473262,2023-06-01
421, Calzones,Unidad,1.4326365541172035,37.94,54.354230863206695,2023-06-01
422, Calcetines,Par,1.3882846737113883,28.29,39.27457341929517,2023-06-01
423, Zapato de cuero sintético ,Par,0.44713223086502013,382.11,170.85369673583284,2023-06-01
424,Arroz ,Libra,38,18.490000000000002,702.6200000000001,2023-07-01
425,Frijol ,Libra,34,37.56,1277.04,2023-07-01
426,Azúcar ,Libra,30,14.88,446.40000000000003,2023-07-01
427,Aceite ,Litro,7,55,385,2023-07-01
428,Posta de res,Libra,8,141.62,1132.96,2023-07-01
429,Posta de cerdo,Libra,5,89.23,446.15000000000003,2023-07-01
430,Carne de aves,Libra,8,59.77,478.16,2023-07-01
431,Chuleta de pescado,Libra,9,95.22,856.98,2023-07-01
432,Leche ,Litro,30,38.72,1161.6,2023-07-01
433,Huevos,Docena,7,71.81,502.67,2023-07-01
434,Queso seco,Libra,9,120.75,1086.75,2023-07-01
435,Tortilla ,Libra,57,29.16,1662.1200000000001,2023-07-01
436,Pinolillo,Libra,10,36.17,361.70000000000005,2023-07-01
437,Pastas alimenticias  ,Libra,5,44.46,222.3,2023-07-01
438,Pan ,Libra,27,32.17,868.59,2023-07-01
439,Tomate de cocinar,Libra,14,19.81,277.34,2023-07-01
440,Cebolla blanca,Libra,8,38.22,305.76,2023-07-01
441,Papas,Libra,15,31.82,477.3,2023-07-01
442,Ayote,Libra,32,9.16,293.12,2023-07-01
443,Chiltoma ,Libra,3,49.07,147.21,2023-07-01
444,Plátano verde,Libra,16,14.950000000000001,239.20000000000002,2023-07-01
445,Naranja ,Libra,46,10.65,489.90000000000003,2023-07-01
446,Repollo,Libra,2,20.07,40.14,2023-07-01
447,Jabón de lavar ropa,Unidad,12.55,26.54,333.077,2023-07-01
448,Detergente en polvo,Bolsita de 40 gramos ,27.97,3.687187295305263,103.1306286496882,2023-07-01
449,Pasta dental,Unidad de 115 grs ,2.13,42.75,91.05749999999999,2023-07-01
450,Fósforos,Cajita de 40 cerillos,10.87,2.25,24.4575,2023-07-01
451,Escoba ,Unidad,1.22,78.43,95.6846,2023-07-01
452,Papel higiénico,Rollos,10.71,20.52,219.7692,2023-07-01
453,Jabón de baño,Unidad,4.67,15.610000000000001,72.8987,2023-07-01
454,Toallas sanitarias ,Bolsa de 10 unid,2.21,27.84,61.526399999999995,2023-07-01
455,Desodorante nacional,Unidad,1.9,54.46,103.474,2023-07-01
456,Cepillo dental,Unidad,2.49,19.54,48.6546,2023-07-01
457,Alquiler,Valor (C$) mensual,1,900,900,2023-07-01
458,Gas butano , 25 libras,1,436,436,2023-07-01
459,Luz eléctrica,KWH,100,3.23192225,323.192225,2023-07-01
460,Agua,Galones,5292,0.031198811720030244,165.10411162240004,2023-07-01
461,Transporte ,Pasaje,240,2.5,600,2023-07-01
462, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,497.02000000000004,308.79360607451576,2023-07-01
463, Camisa manga corta ,Unidad,0.6600037006796985,161.75,106.75559858494123,2023-07-01
464, Calzoncillos,Unidad,1.56501893310219,60.38,94.49584318071024,2023-07-01
465, Calcetines,Par,1.3198798072969047,33.17,43.78041320803833,2023-07-01
466," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,528.39,228.3761307458822,2023-07-01
467, Blusa manga corta ,Unidad,0.66,163.03,107.5998,2023-07-01
468, Pantalón largo de tela de jeans ,Unidad,0.51,539.57,275.18070000000006,2023-07-01
469, Vestido entero ,Unidad,0.5,289.65000000000003,144.82500000000002,2023-07-01
470, Calzones/ Bikinis,Unidad,1.23,52.79,64.93169999999999,2023-07-01
471, Brassier/ sostén,Unidad,0.97,70,67.89999999999999,2023-07-01
472, Sandalias de cuero sintético ,Par,0.44,284.02,124.96879999999999,2023-07-01
473, Traje completo,Unidad,0.5019645078350022,371.66,186.56012898195695,2023-07-01
474, Calzones,Unidad,1.4326365541172035,38.18,54.69806363619483,2023-07-01
475, Calcetines,Par,1.3882846737113883,28.57,39.66329312793437,2023-07-01
476, Zapato de cuero sintético ,Par,0.44713223086502013,369.8,165.34949897388444,2023-07-01
477,Arroz ,Libra,38,18.51,703.3800000000001,2023-08-01
478,Frijol ,Libra,34,36.82,1251.88,2023-08-01
479,Azúcar ,Libra,30,14.98,449.40000000000003,2023-08-01
480,Aceite ,Litro,7,55.63,389.41,2023-08-01
481,Posta de res,Libra,8,138.74,1109.92,2023-08-01
482,Posta de cerdo,Libra,5,89.74,448.7,2023-08-01
483,Carne de aves,Libra,8,56.05,448.4,2023-08-01
484,Chuleta de pescado,Libra,9,96.66,869.9399999999999,2023-08-01
485,Leche ,Litro,30,39.16,1174.8,2023-08-01
486,Huevos,Docena,7,71.43,500.01000000000005,2023-08-01
487,Queso seco,Libra,9,122.75,1104.75,2023-08-01
488,Tortilla ,Libra,57,28.1,1601.7,2023-08-01
489,Pinolillo,Libra,10,37.21,372.1,2023-08-01
490,Pastas alimenticias  ,Libra,5,44.16,220.79999999999998,2023-08-01
491,Pan ,Libra,27,32.37,873.9899999999999,2023-08-01
492,Tomate de cocinar,Libra,14,25.68,359.52,2023-08-01
493,Cebolla blanca,Libra,8,38.62,308.96,2023-08-01
494,Papas,Libra,15,38.58,578.6999999999999,2023-08-01
495,Ayote,Libra,32,8.56,273.92,2023-08-01
496,Chiltoma ,Libra,3,46.33,138.99,2023-08-01
497,Plátano verde,Libra,16,16.09,257.44,2023-08-01
498,Naranja ,Libra,46,9.62,442.52,2023-08-01
499,Repollo,Libra,2,12.83,25.66,2023-08-01
500,Jabón de lavar ropa,Unidad,12.55,26.72,335.336,2023-08-01
501,Detergente en polvo,Bolsita de 40 gramos ,27.97,3.720435133505522,104.06057068414944,2023-08-01
502,Pasta dental,Unidad de 115 grs ,2.13,42.9,91.377,2023-08-01
503,Fósforos,Cajita de 40 cerillos,10.87,2.29,24.8923,2023-08-01
504,Escoba ,Unidad,1.22,78.89,96.2458,2023-08-01
505,Papel higiénico,Rollos,10.71,20.37,218.16270000000003,2023-08-01
506,Jabón de baño,Unidad,4.67,15.32,71.5444,2023-08-01
507,Toallas sanitarias ,Bolsa de 10 unid,2.21,27.86,61.5706,2023-08-01
508,Desodorante nacional,Unidad,1.9,55.24,104.956,2023-08-01
509,Cepillo dental,Unidad,2.49,19.68,49.00320000000001,2023-08-01
510,Alquiler,Valor (C$) mensual,1,900,900,2023-08-01
511,Gas butano , 25 libras,1,436,436,2023-08-01
512,Luz eléctrica,KWH,100,3.2346524999999997,323.46524999999997,2023-08-01
513,Agua,Galones,5292,0.031198811720030237,165.1041116224,2023-08-01
514,Transporte ,Pasaje,240,2.5,600,2023-08-01
515, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,499.94,310.60777316987924,2023-08-01
516, Camisa manga corta ,Unidad,0.6600037006796985,163.18,107.69940387691321,2023-08-01
517, Calzoncillos,Unidad,1.56501893310219,61.55,96.32691533243978,2023-08-01
518, Calcetines,Par,1.3198798072969047,33.85,44.67793147700023,2023-08-01
519," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,533.51,230.5890526206696,2023-08-01
520, Blusa manga corta ,Unidad,0.66,164.36,108.47760000000001,2023-08-01
521, Pantalón largo de tela de jeans ,Unidad,0.51,539.82,275.30820000000006,2023-08-01
522, Vestido entero ,Unidad,0.5,292.25,146.125,2023-08-01
523, Calzones/ Bikinis,Unidad,1.23,55.66,68.4618,2023-08-01
524, Brassier/ sostén,Unidad,0.97,70.75,68.6275,2023-08-01
525, Sandalias de cuero sintético ,Par,0.44,284.03,124.97319999999999,2023-08-01
526, Traje completo,Unidad,0.5019645078350022,372.03,186.74585584985587,2023-08-01
527, Calzones,Unidad,1.4326365541172035,38.3,54.86998002268889,2023-08-01
528, Calcetines,Par,1.3882846737113883,28.56,39.64941028119725,2023-08-01
529, Zapato de cuero sintético ,Par,0.44713223086502013,370.85,165.81898781629272,2023-08-01
530,Arroz ,Libra,38,18.48,702.24,2023-09-01
531,Frijol ,Libra,34,35.47,1205.98,2023-09-01
532,Azúcar ,Libra,30,15.09,452.7,2023-09-01
533,Aceite ,Litro,7,55.1,385.7,2023-09-01
534,Posta de res,Libra,8,147.82,1182.56,2023-09-01
535,Posta de cerdo,Libra,5,89.16,445.79999999999995,2023-09-01
536,Carne de aves,Libra,8,51.12,408.96,2023-09-01
537,Chuleta de pescado,Libra,9,97.44,876.96,2023-09-01
538,Leche ,Litro,30,39.27,1178.1000000000001,2023-09-01
539,Huevos,Docena,7,70.89,496.23,2023-09-01
540,Queso seco,Libra,9,126.95,1142.55,2023-09-01
541,Tortilla ,Libra,57,24.76,1411.3200000000002,2023-09-01
542,Pinolillo,Libra,10,37.38,373.8,2023-09-01
543,Pastas alimenticias  ,Libra,5,43.86,219.3,2023-09-01
544,Pan ,Libra,27,30.87,833.49,2023-09-01
545,Tomate de cocinar,Libra,14,26.01,364.14000000000004,2023-09-01
546,Cebolla blanca,Libra,8,45.15,361.2,2023-09-01
547,Papas,Libra,15,32.16,482.4,2023-09-01
548,Ayote,Libra,32,9.76,312.32,2023-09-01
549,Chiltoma ,Libra,3,45.68,137.04,2023-09-01
550,Plátano verde,Libra,16,16.35,261.6,2023-09-01
551,Naranja ,Libra,46,9.93,456.78,2023-09-01
552,Repollo,Libra,2,8.62,17.24,2023-09-01
553,Jabón de lavar ropa,Unidad,12.55,26.89,337.46950000000004,2023-09-01
554,Detergente en polvo,Bolsita de 40 gramos ,27.97,3.7101102155041006,103.7717827276497,2023-09-01
555,Pasta dental,Unidad de 115 grs ,2.13,42.99,91.56869999999999,2023-09-01
556,Fósforos,Cajita de 40 cerillos,10.87,2.28,24.783599999999996,2023-09-01
557,Escoba ,Unidad,1.22,78.25,95.465,2023-09-01
558,Papel higiénico,Rollos,10.71,20.53,219.87630000000004,2023-09-01
559,Jabón de baño,Unidad,4.67,15.4,71.918,2023-09-01
560,Toallas sanitarias ,Bolsa de 10 unid,2.21,27.83,61.50429999999999,2023-09-01
561,Desodorante nacional,Unidad,1.9,55.5,105.44999999999999,2023-09-01
562,Cepillo dental,Unidad,2.49,19.46,48.455400000000004,2023-09-01
563,Alquiler,Valor (C$) mensual,1,900,900,2023-09-01
564,Gas butano , 25 libras,1,436,436,2023-09-01
565,Luz eléctrica,KWH,100,3.237297,323.7297,2023-09-01
566,Agua,Galones,5292,0.031198811720030237,165.1041116224,2023-09-01
567,Transporte ,Pasaje,240,2.5,600,2023-09-01
568, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,504.56,313.47813343720105,2023-09-01
569, Camisa manga corta ,Unidad,0.6600037006796985,163.18,107.69940387691321,2023-09-01
570, Calzoncillos,Unidad,1.56501893310219,61.76,96.65556930839125,2023-09-01
571, Calcetines,Par,1.3198798072969047,34.14,45.06069662111633,2023-09-01
572," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,527.69,228.07358283331362,2023-09-01
573, Blusa manga corta ,Unidad,0.66,164.35,108.471,2023-09-01
574, Pantalón largo de tela de jeans ,Unidad,0.51,543.29,277.0779,2023-09-01
575, Vestido entero ,Unidad,0.5,294.58,147.29,2023-09-01
576, Calzones/ Bikinis,Unidad,1.23,55.85,68.6955,2023-09-01
577, Brassier/ sostén,Unidad,0.97,71.23,69.0931,2023-09-01
578, Sandalias de cuero sintético ,Par,0.44,287.41,126.4604,2023-09-01
579, Traje completo,Unidad,0.5019645078350022,373.2,187.33315432402284,2023-09-01
580, Calzones,Unidad,1.4326365541172035,38.31,54.884306388230065,2023-09-01
581, Calcetines,Par,1.3882846737113883,29.41,40.82945225385193,2023-09-01
582, Zapato de cuero sintético ,Par,0.44713223086502013,373.09,166.82056401343036,2023-09-01
583,Arroz ,Libra,38,18.57,705.66,2023-10-01
584,Frijol ,Libra,34,36.13,1228.42,2023-10-01
585,Azúcar ,Libra,30,15.08,452.4,2023-10-01
586,Aceite ,Litro,7,54.35,380.45,2023-10-01
587,Posta de res,Libra,8,142.28,1138.24,2023-10-01
588,Posta de cerdo,Libra,5,89.52,447.59999999999997,2023-10-01
589,Carne de aves,Libra,8,51.11,408.88,2023-10-01
590,Chuleta de pescado,Libra,9,97.12,874.08,2023-10-01
591,Leche ,Litro,30,39.2,1176,2023-10-01
592,Huevos,Docena,7,71.11,497.77,2023-10-01
593,Queso seco,Libra,9,131.16,1180.44,2023-10-01
594,Tortilla ,Libra,57,24.96,1422.72,2023-10-01
595,Pinolillo,Libra,10,37.03,370.3,2023-10-01
596,Pastas alimenticias  ,Libra,5,45.38,226.9,2023-10-01
597,Pan ,Libra,27,32.17,868.59,2023-10-01
598,Tomate de cocinar,Libra,14,24.3,340.2,2023-10-01
599,Cebolla blanca,Libra,8,45.27,362.16,2023-10-01
600,Papas,Libra,15,30.98,464.7,2023-10-01
601,Ayote,Libra,32,10.47,335.04,2023-10-01
602,Chiltoma ,Libra,3,45.71,137.13,2023-10-01
603,Plátano verde,Libra,16,17.240000000000002,275.84000000000003,2023-10-01
604,Naranja ,Libra,46,8.38,385.48,2023-10-01
605,Repollo,Libra,2,9.86,19.72,2023-10-01
606,Jabón de lavar ropa,Unidad,12.55,26.82,336.591,2023-10-01
607,Detergente en polvo,Bolsita de 40 gramos ,27.97,3.734533987829229,104.45491563958353,2023-10-01
608,Pasta dental,Unidad de 115 grs ,2.13,43.15,91.9095,2023-10-01
609,Fósforos,Cajita de 40 cerillos,10.87,2.2800000000000002,24.7836,2023-10-01
610,Escoba ,Unidad,1.22,77.94,95.0868,2023-10-01
611,Papel higiénico,Rollos,10.71,21.05,225.44550000000004,2023-10-01
612,Jabón de baño,Unidad,4.67,18.62,86.9554,2023-10-01
613,Toallas sanitarias ,Bolsa de 10 unid,2.21,27.8,61.438,2023-10-01
614,Desodorante nacional,Unidad,1.9,56.38,107.122,2023-10-01
615,Cepillo dental,Unidad,2.49,19.72,49.1028,2023-10-01
616,Alquiler,Valor (C$) mensual,1,900,900,2023-10-01
617,Gas butano , 25 libras,1,436,436,2023-10-01
618,Luz eléctrica,KWH,100,3.2400545,324.00545,2023-10-01
619,Agua,Galones,5292,0.031198811720030244,165.10411162240004,2023-10-01
620,Transporte ,Pasaje,240,2.5,600,2023-10-01
621, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,506.63,314.76420394658544,2023-10-01
622, Camisa manga corta ,Unidad,0.6600037006796985,163.53,107.9304051721511,2023-10-01
623, Calzoncillos,Unidad,1.56501893310219,61.76,96.65556930839125,2023-10-01
624, Calcetines,Par,1.3198798072969047,34.38,45.37746777486759,2023-10-01
625," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,539.91,233.35520496415384,2023-10-01
626, Blusa manga corta ,Unidad,0.66,166.34,109.7844,2023-10-01
627, Pantalón largo de tela de jeans ,Unidad,0.51,545.51,278.2101,2023-10-01
628, Vestido entero ,Unidad,0.5,294.87,147.435,2023-10-01
629, Calzones/ Bikinis,Unidad,1.23,56.01,68.89229999999999,2023-10-01
630, Brassier/ sostén,Unidad,0.97,71.66,69.5102,2023-10-01
631, Sandalias de cuero sintético ,Par,0.44,288.56,126.96640000000001,2023-10-01
632, Traje completo,Unidad,0.5019645078350022,374.58,188.02586534483513,2023-10-01
633, Calzones,Unidad,1.4326365541172035,38.660000000000004,55.38572918217109,2023-10-01
634, Calcetines,Par,1.3882846737113883,29.69,41.21817196249112,2023-10-01
635, Zapato de cuero sintético ,Par,0.44713223086502013,375.66,167.96969384675347,2023-10-01
636,Arroz ,Libra,38,18.58,706.04,2023-11-01
637,Frijol ,Libra,34,35.93,1221.62,2023-11-01
638,Azúcar ,Libra,30,15.13,453.90000000000003,2023-11-01
639,Aceite ,Litro,7,53.85,376.95,2023-11-01
640,Posta de res,Libra,8,150.34,1202.72,2023-11-01
641,Posta de cerdo,Libra,5,89.71,448.54999999999995,2023-11-01
642,Carne de aves,Libra,8,53.58,428.64,2023-11-01
643,Chuleta de pescado,Libra,9,97.36,876.24,2023-11-01
644,Leche ,Litro,30,39.27,1178.1000000000001,2023-11-01
645,Huevos,Docena,7,72.4,506.80000000000007,2023-11-01
646,Queso seco,Libra,9,130.91,1178.19,2023-11-01
647,Tortilla ,Libra,57,25.75,1467.75,2023-11-01
648,Pinolillo,Libra,10,37.41,374.09999999999997,2023-11-01
649,Pastas alimenticias  ,Libra,5,45.38,226.9,2023-11-01
650,Pan ,Libra,27,30.93,835.11,2023-11-01
651,Tomate de cocinar,Libra,14,23.55,329.7,2023-11-01
652,Cebolla blanca,Libra,8,49.03,392.24,2023-11-01
653,Papas,Libra,15,34.74,521.1,2023-11-01
654,Ayote,Libra,32,8.5,272,2023-11-01
655,Chiltoma ,Libra,3,45.19,135.57,2023-11-01
656,Plátano verde,Libra,16,18.56,296.96,2023-11-01
657,Naranja ,Libra,46,9.08,417.68,2023-11-01
658,Repollo,Libra,2,11.97,23.94,2023-11-01
659,Jabón de lavar ropa,Unidad,12.55,26.9,337.595,2023-11-01
660,Detergente en polvo,Bolsita de 40 gramos ,27.97,3.713605082994626,103.86953417135969,2023-11-01
661,Pasta dental,Unidad de 115 grs ,2.13,43.72,93.1236,2023-11-01
662,Fósforos,Cajita de 40 cerillos,10.87,2.28,24.783599999999996,2023-11-01
663,Escoba ,Unidad,1.22,77.94,95.0868,2023-11-01
664,Papel higiénico,Rollos,10.71,21.32,228.33720000000002,2023-11-01
665,Jabón de baño,Unidad,4.67,16.5,77.05499999999999,2023-11-01
666,Toallas sanitarias ,Bolsa de 10 unid,2.21,27.93,61.7253,2023-11-01
667,Desodorante nacional,Unidad,1.9,56.7,107.73,2023-11-01
668,Cepillo dental,Unidad,2.49,19.72,49.1028,2023-11-01
669,Alquiler,Valor (C$) mensual,1,900,900,2023-11-01
670,Gas butano , 25 libras,1,436,436,2023-11-01
671,Luz eléctrica,KWH,100,3.2427242500000006,324.27242500000006,2023-11-01
672,Agua,Galones,5292,0.0311988117200302,165.1041116223998,2023-11-01
673,Transporte ,Pasaje,240,2.5,600,2023-11-01
674, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,505.67,314.16776544947965,2023-11-01
675, Camisa manga corta ,Unidad,0.6600037006796985,164.23,108.39240776262687,2023-11-01
676, Calzoncillos,Unidad,1.56501893310219,61.99,97.01552366300476,2023-11-01
677, Calcetines,Par,1.3198798072969047,34.18,45.1134918134082,2023-11-01
678," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,546.58,236.23805435962888,2023-11-01
679, Blusa manga corta ,Unidad,0.66,167.27,110.39820000000002,2023-11-01
680, Pantalón largo de tela de jeans ,Unidad,0.51,545.69,278.30190000000005,2023-11-01
681, Vestido entero ,Unidad,0.5,296.84,148.42,2023-11-01
682, Calzones/ Bikinis,Unidad,1.23,55.27,67.9821,2023-11-01
683, Brassier/ sostén,Unidad,0.97,72.25,70.0825,2023-11-01
684, Sandalias de cuero sintético ,Par,0.44,289.72,127.47680000000001,2023-11-01
685, Traje completo,Unidad,0.5019645078350022,374.58,188.02586534483513,2023-11-01
686, Calzones,Unidad,1.4326365541172035,38.65,55.37140281662991,2023-11-01
687, Calcetines,Par,1.3882846737113883,30.04,41.704071598290106,2023-11-01
688, Zapato de cuero sintético ,Par,0.44713223086502013,377.73,168.89525756464406,2023-11-01
689,Arroz ,Libra,38,18.7,710.6,2023-12-01
690,Frijol ,Libra,34,35.39,1203.26,2023-12-01
691,Azúcar ,Libra,30,15.280000000000001,458.40000000000003,2023-12-01
692,Aceite ,Litro,7,53.47,374.28999999999996,2023-12-01
693,Posta de res,Libra,8,152.21,1217.68,2023-12-01
694,Posta de cerdo,Libra,5,89.68,448.40000000000003,2023-12-01
695,Carne de aves,Libra,8,57.29,458.32,2023-12-01
696,Chuleta de pescado,Libra,9,97.83,880.47,2023-12-01
697,Leche ,Litro,30,39.300000000000004,1179.0000000000002,2023-12-01
698,Huevos,Docena,7,72.79,509.53000000000003,2023-12-01
699,Queso seco,Libra,9,130.24,1172.16,2023-12-01
700,Tortilla ,Libra,57,24.91,1419.8700000000001,2023-12-01
701,Pinolillo,Libra,10,37.64,376.4,2023-12-01
702,Pastas alimenticias  ,Libra,5,45.5,227.5,2023-12-01
703,Pan ,Libra,27,32.6,880.2,2023-12-01
704,Tomate de cocinar,Libra,14,32.19,450.65999999999997,2023-12-01
705,Cebolla blanca,Libra,8,44.86,358.88,2023-12-01
